PROVINCE,CLIMATE_ZONE
PROVINCE_0000,CLIMATE_ZONE_010
PROVINCE_0001,CLIMATE_ZONE_011
PROVINCE_0002,CLIMATE_ZONE_001
PROVINCE_0003,CLIMATE_ZONE_013
PROVINCE_0004,CLIMATE_ZONE_016
PROVINCE_0005,CLIMATE_ZONE_017
PROVINCE_0006,CLIMATE_ZONE_005
PROVINCE_0007,CLIMATE_ZONE_013
PROVINCE_0008,CLIMATE_ZONE_018
PROVINCE_0009,CLIMATE_ZONE_003
PROVINCE_0010,CLIMATE_ZONE_015
PROVINCE_0011,CLIMATE_ZONE_015
PROVINCE_0012,CLIMATE_ZONE_013
PROVINCE_0013,CLIMATE_ZONE_017
PROVINCE_0014,CLIMATE_ZONE_004
PROVINCE_0015,CLIMATE_ZONE_019
PROVINCE_0016,CLIMATE_ZONE_006
PROVINCE_0017,CLIMATE_ZONE_016
PROVINCE_0018,CLIMATE_ZONE_008
PROVINCE_0019,CLIMATE_ZONE_009
PROVINCE_0020,CLIMATE_ZONE_001
PROVINCE_0021,CLIMATE_ZONE_003
PROVINCE_0022,CLIMATE_ZONE_007
PROVINCE_0023,CLIMATE_ZONE_009
PROVINCE_0024,CLIMATE_ZONE_017
PROVINCE_0025,CLIMATE_ZONE_000
PROVINCE_0026,CLIMATE_ZONE_016
PROVINCE_0027,CLIMATE_ZONE_014
PROVINCE_0028,CLIMATE_ZONE_006
PROVINCE_0029,CLIMATE_ZONE_010
PROVINCE_0030,CLIMATE_ZONE_009
PROVINCE_0031,CLIMATE_ZONE_007
PROVINCE_0032,CLIMATE_ZONE_015
PROVINCE_0033,CLIMATE_ZONE_017
PROVINCE_0034,CLIMATE_ZONE_016
PROVINCE_0035,CLIMATE_ZONE_004
PROVINCE_0036,CLIMATE_ZONE_013
PROVINCE_0037,CLIMATE_ZONE_001
PROVINCE_0038,CLIMATE_ZONE_006
PROVINCE_0039,CLIMATE_ZONE_007
PROVINCE_0040,CLIMATE_ZONE_011
PROVINCE_0041,CLIMATE_ZONE_019
PROVINCE_0042,CLIMATE_ZONE_003
PROVINCE_0043,CLIMATE_ZONE_001
PROVINCE_0044,CLIMATE_ZONE_003
PROVINCE_0045,CLIMATE_ZONE_011
PROVINCE_0046,CLIMATE_ZONE_014
PROVINCE_0047,CLIMATE_ZONE_000
PROVINCE_0048,CLIMATE_ZONE_019
PROVINCE_0049,CLIMATE_ZONE_001
PROVINCE_0050,CLIMATE_ZONE_016
PROVINCE_0051,CLIMATE_ZONE_011
PROVINCE_0052,CLIMATE_ZONE_018
PROVINCE_0053,CLIMATE_ZONE_018
PROVINCE_0054,CLIMATE_ZONE_002
PROVINCE_0055,CLIMATE_ZONE_009
PROVINCE_0056,CLIMATE_ZONE_009
PROVINCE_0057,CLIMATE_ZONE_018
PROVINCE_0058,CLIMATE_ZONE_005
PROVINCE_0059,CLIMATE_ZONE_000
PROVINCE_0060,CLIMATE_ZONE_014
PROVINCE_0061,CLIMATE_ZONE_008
PROVINCE_0062,CLIMATE_ZONE_018
PROVINCE_0063,CLIMATE_ZONE_005
PROVINCE_0064,CLIMATE_ZONE_012
PROVINCE_0065,CLIMATE_ZONE_019
PROVINCE_0066,CLIMATE_ZONE_018
PROVINCE_0067,CLIMATE_ZONE_019
PROVINCE_0068,CLIMATE_ZONE_013
PROVINCE_0069,CLIMATE_ZONE_019
PROVINCE_0070,CLIMATE_ZONE_018
PROVINCE_0071,CLIMATE_ZONE_012
PROVINCE_0072,CLIMATE_ZONE_009
PROVINCE_0073,CLIMATE_ZONE_017
PROVINCE_0074,CLIMATE_ZONE_019
PROVINCE_0075,CLIMATE_ZONE_019
PROVINCE_0076,CLIMATE_ZONE_014
PROVINCE_0077,CLIMATE_ZONE_002
PROVINCE_0078,CLIMATE_ZONE_016
PROVINCE_0079,CLIMATE_ZONE_009
PROVINCE_0080,CLIMATE_ZONE_004
PROVINCE_0081,CLIMATE_ZONE_017
PROVINCE_0082,CLIMATE_ZONE_011
PROVINCE_0083,CLIMATE_ZONE_018
PROVINCE_0084,CLIMATE_ZONE_012
PROVINCE_0085,CLIMATE_ZONE_018
PROVINCE_0086,CLIMATE_ZONE_007
PROVINCE_0087,CLIMATE_ZONE_004
PROVINCE_0088,CLIMATE_ZONE_010
PROVINCE_0089,CLIMATE_ZONE_018
PROVINCE_0090,CLIMATE_ZONE_003
PROVINCE_0091,CLIMATE_ZONE_009
PROVINCE_0092,CLIMATE_ZONE_000
PROVINCE_0093,CLIMATE_ZONE_016
PROVINCE_0094,CLIMATE_ZONE_009
PROVINCE_0095,CLIMATE_ZONE_018
PROVINCE_0096,CLIMATE_ZONE_019
PROVINCE_0097,CLIMATE_ZONE_006
PROVINCE_0098,CLIMATE_ZONE_005
PROVINCE_0099,CLIMATE_ZONE_006
PROVINCE_0100,CLIMATE_ZONE_003
PROVINCE_0101,CLIMATE_ZONE_005
PROVINCE_0102,CLIMATE_ZONE_007
PROVINCE_0103,CLIMATE_ZONE_009
PROVINCE_0104,CLIMATE_ZONE_004
PROVINCE_0105,CLIMATE_ZONE_013
PROVINCE_0106,CLIMATE_ZONE_012
PROVINCE_0107,CLIMATE_ZONE_018
PROVINCE_0108,CLIMATE_ZONE_017
PROVINCE_0109,CLIMATE_ZONE_001
PROVINCE_0110,CLIMATE_ZONE_013
PROVINCE_0111,CLIMATE_ZONE_019
PROVINCE_0112,CLIMATE_ZONE_000
PROVINCE_0113,CLIMATE_ZONE_017
PROVINCE_0114,CLIMATE_ZONE_015
PROVINCE_0115,CLIMATE_ZONE_004
PROVINCE_0116,CLIMATE_ZONE_012
PROVINCE_0117,CLIMATE_ZONE_003
PROVINCE_0118,CLIMATE_ZONE_014
PROVINCE_0119,CLIMATE_ZONE_013
PROVINCE_0120,CLIMATE_ZONE_000
PROVINCE_0121,CLIMATE_ZONE_014
PROVINCE_0122,CLIMATE_ZONE_005
PROVINCE_0123,CLIMATE_ZONE_006
PROVINCE_0124,CLIMATE_ZONE_009
PROVINCE_0125,CLIMATE_ZONE_017
PROVINCE_0126,CLIMATE_ZONE_007
PROVINCE_0127,CLIMATE_ZONE_016
PROVINCE_0128,CLIMATE_ZONE_019
PROVINCE_0129,CLIMATE_ZONE_007
PROVINCE_0130,CLIMATE_ZONE_010
PROVINCE_0131,CLIMATE_ZONE_019
PROVINCE_0132,CLIMATE_ZONE_011
PROVINCE_0133,CLIMATE_ZONE_007
PROVINCE_0134,CLIMATE_ZONE_016
PROVINCE_0135,CLIMATE_ZONE_004
PROVINCE_0136,CLIMATE_ZONE_017
PROVINCE_0137,CLIMATE_ZONE_000
PROVINCE_0138,CLIMATE_ZONE_009
PROVINCE_0139,CLIMATE_ZONE_000
PROVINCE_0140,CLIMATE_ZONE_011
PROVINCE_0141,CLIMATE_ZONE_013
PROVINCE_0142,CLIMATE_ZONE_003
PROVINCE_0143,CLIMATE_ZONE_004
PROVINCE_0144,CLIMATE_ZONE_018
PROVINCE_0145,CLIMATE_ZONE_019
PROVINCE_0146,CLIMATE_ZONE_013
PROVINCE_0147,CLIMATE_ZONE_010
PROVINCE_0148,CLIMATE_ZONE_000
PROVINCE_0149,CLIMATE_ZONE_017
